正四棱柱,QuadraRegularPrism,195
直四棱柱,StraightQuadrangularPrism,196
棱台,PrismaticTable,197
正棱台,RegularPrismoid,198
正棱锥,Orthoprism,199
棱锥,Pyramid,200
四棱锥,QuadrangularPyramid,201
正四面体,RegularTetrahedron,202
三棱锥,TriangularPyramid,203
等式,Equality,204
方程,Equation,205
一般方程,GeneralEquation,206
一元一次方程,OneUnknownLieanerEquation,207
一元二次方程,OneUnknownQuadraticEquation,208
参数方程,ParametricEquation,209
多项式方程,Polynomialequation,210
递归方程,RecursiveEquation,211
标准方程,StandardEquation,212
切线方程,TangentEquation,213
轨迹方程,TrajectoryEquation,214
二元一次方程,TwoUnknownLieanerEquation,215
二元二次方程,TwoUnknownQuadraticEquation,216
向量方程,VectorEquation,217
连加,Addprod,218
解析式,Analytic,219
二项式,Binomial,220
二项展开式,BinomialExpansion,221
常量,Constant,222
常数项,ConstantTerm,223
三次项,CubicTerm,224
连乘,Cumprod,225
判别式,Delta,226
距离,Distance,227
展开式,Expandable,228
纯表达式,Express,229
焦距,FocalLength,230
分式表达式,FractionExpression,231
i,I,232
整数式表达式,IntegerExpression,233
一次项,LinearTerm,234
多项式,PolynomialExpression,235
二次项,QuadraticTerm,236
根式表达式,RadicalExpression,237
有理数式表达式,RationalExpression,238
标量表达式,ScalarExpress,239
集合表达式,SetExpress,240
解,Solution,241
项,Term,242
向量表达式,VectorExpress,243
不等式,Inequality,244
底数,BaseNumber,245
二项式系数,BinomialCoefficient,246
系数,Coefficient,247
复数,ComplexNumber,248
常数,ConstantNumber,249
导数,Derivative,250
偶数,Even,251
存在量词,ExitQuantifier,252
浮点数,FloatNumber,253
分数,Fraction,254
全称量词,FullQuantifier,255
高度,Height,256
指数,IndexNumber,257
整数,Integer,258
无理数,IrrationalNumber,259
长度,Length,260
对数,LogarithmNumber,261
最小正周期,MinimumPositivePeriod,262
自然数,NaturalNumber,263
负整数,NegativeInteger,264
负数,NegativeNumber,265
非负整数,NonNegativeInteger,266
数,Number,267
0,NumberZero,268
奇数,Odd,269
周长,Perimeter,270
周期,Period,271
正整数,PositiveInteger,272
正数,PositiveNumber,273
正实数,PositiveRealNumber,274
数量,Quantity,275
阶,Rank,276
有理数,RationalNumber,277
实数,RealNumber,278
和,SumOfNumber,279
真数,TrueNumber,280
各项系数,VariousCoefficients,281
宽度,Width,282
零点,ZeroPoint,283
反余弦函数,ArccosFunction,284
反余切函数,ArccotFunction,285
反正割函数,ArcsecantFunction,286
反正弦函数,ArcsinFunction,287
反余割函数,InverseCosecantFunction,288
反正切函数,InverseTangentFunction,289
反三角函数,InverseTrigonometricFunction,290
余割函数,CosecantFunction,291
余弦函数,CosineFunction,292
余切函数,CotangentFunction,293
正割函数,SecantFunction,294
正弦函数,SineFunction,295
正切函数,TangentFunction,296
三角函数,TrigonometricFunction,297
圆心,Center,298
弦,Chord,299
弦切角,ChordAngle,300
弦心距,ChordDistance,301
外接圆,CircumCircle,302
直径,Diameter,303
内切圆,InscribedCircle,304
优弧,MajorArc,305
劣弧,MinorArc,306
动圆,MovingCircle,307
半径,Radius,308
半圆,SemiCircle,309
单位圆,UnitCircle,310
区域,Region,311
阴影区域,ShadowRegion,312
二次曲线,AbstractQuadraticCurve,313
准线,Alignment,314
底面,Bottom,315
左准线,LeftAlignment,316
左支,LeftBranch,317
长轴,LongAxis,318
实轴,RealAxis,319
右准线,RightAlignment,320
左支,RightBranch,321
短轴,ShortAxis,322
虚轴,VirtualAxis,323
锐角,AcuteAngle,324
角,Angle,325
顶角,Apex,326
圆心角,CentralAngle,327
圆周角,CircumferentialAngle,328
普通角,CommonAngle,329
二面角,DihedralAngle,330
平角,FlatAngle,331
夹角,FolderAngle,332
全角,FullAngle,333
内角,InnerAngle,334
钝角,ObtuseAngle,335
直角,RightAngle,336
倾斜角,TiltAngle,337
零角,ZeroAngle,338
图像,AbstractGraphics,339
线,AbstractLine,340
母线,Busbar,341
对角线,Diagonal,342
延长线,ExtendedLine,343
中位线,MedianLine,344
中线,Midline,345
动直线,MovingStraightLine,346
平行线,ParallelLine,347
折线,Polyline,348
射线,Ray,349
线段,Segment,350
直线,StraightLine,351
切线,Tangent,352
垂直平分线,VerticalBisectorLine,353
垂线,VerticalLine,354
下顶点,DownVertex,355
端点,EndnessPoint,356
极值点,ExtremePoint,357
定点,FixedPoint,358
焦点,Focus,359
交点,IntersectionPoint,360
左焦点,LeftFocus,361
左顶点,LeftVertex,362
中点,MiddlePoint,363
动点,MovingPoint,364
原点,OriginPoint,365
垂心,Orthocenter,366
周期点,PeriodPoint,367
点,Point,368
公共点,PublicPoint,369
右焦点,RightFocus,370
右顶点,RightVertex,371
切点,TangentPoint,372
上顶点,UpVertex,373
顶点,Vertex,374
多边形,Polygon,375
正多边形,RegularPolygon,376
等腰梯形,IsoscelesTrapezoid,377
平行四边形,Parallelogram,378
四边形,Quadrangle,379
矩形,Rectangle,380
菱形,Rhombus,381
直角梯形,RightTrapezoid,382
正方形,Square,383
梯形,Trapezoid,384
扇形,Sector,385
锐角三角形,AcuteTriangle,386
斜边,BevelEdge,387
底边,BottomEdge,388
边,Edge,389
高,HighLine,390
等腰直角三角形,IsoscelesRightTriangle,391
等腰三角形,IsoscelesTriangle,392
斜三角形,ObliqueTriangle,393
